Symbol,Name,Country,IPO Year,Sector,Industry
AGNCO,AGNC Investment Corp. Depositary Shares each representing a 1/1000th interest in a share of 6.50% Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock,United States,,Real Estate,Real Estate Investment Trusts
AGNCP,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,United States,,Real Estate,Real Estate Investment Trusts
AGO,Assured Guaranty Ltd. Common Stock,Bermuda,2004,Finance,Property-Casualty Insurers
AGR,Avangrid Inc. Common Stock,United States,2015,Utilities,Electric Utilities: Central
AGRI,AgriFORCE  Growing Systems Ltd. Common Shares,Canada,2021,Industrials,Metal Fabrications
AGRIW,AgriFORCE  Growing Systems Ltd. Warrant,Canada,2021,,
AGRO,Adecoagro S.A. Common Shares,Luxembourg,2011,Consumer Staples,Farming/Seeds/Milling
AGRX,Agile Therapeutics Inc. Common Stock,United States,2014,Health Care,Biotechnology: Pharmaceutical Preparations
AGS,PlayAGS Inc. Common Stock,United States,2018,Consumer Discretionary,Miscellaneous manufacturing industries
AGTI,Agiliti Inc. Common Stock,United States,2021,Health Care,Managed Health Care
AGX,Argan Inc. Common Stock,United States,,Consumer Discretionary,Engineering & Construction
AGYS,Agilysys Inc. Common Stock (DE),United States,,Technology,EDP Services
AHCO,AdaptHealth Corp. Common Stock,United States,2018,Health Care,Medical/Nursing Services
AHG,Akso Health Group ADS,China,2017,Consumer Discretionary,Business Services
AHH,Armada Hoffler Properties Inc. Common Stock,United States,2013,Finance,Real Estate
AHH^A,Armada Hoffler Properties Inc. 6.75% Series A Cumulative Redeemable Perpetual Preferred Stock,United States,,,
AHI,Advanced Health Intelligence Ltd. American Depositary Shares,Australia,2021,Consumer Discretionary,Package Goods/Cosmetics
AHL^C,Aspen Insurance Holdings Limited 5.95% Fixed-to-Floating Rate Perpetual Non-Cumulative Preference Shares,Bermuda,,,
